,country,province,region_1,name,location,latitude,longitude
51,Austria,Burgenland,,"Austria, Burgenland","Burgenland, Österreich",47.5000001,16.4166666
52,France,Beaujolais,Juliénas,"Beaujolais, Juliénas, France","Beaujolais, Rue du Macônnais, Hauts de Chambéry, Chambéry, Savoie, Auvergne-Rhône-Alpes, France métropolitaine, 73000, France",45.5906506,5.917992400000001
53,France,Beaujolais,Régnié,"Beaujolais, Régnié, France","Voie Verte du Beaujolais, Régnié-Durette, Villefranche-sur-Saône, Rhône, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69430, France",46.1259969,4.633866200000001
54,US,New York,Finger Lakes,"US, New York, Finger Lakes","NYC, New York, USA",40.7127281,-74.0060152
55,Italy,Tuscany,Morellino di Scansano,"Tuscany, Italy, Morellino di Scansano","Morellino DI Scansano, Podere  il Corbezzolo, Magliano in Toscana, GR, TOS, Italia",42.71255365,11.228051603392501
56,Chile,Leyda Valley,,"Chile, Leyda Valley","Leyda, Provincia de San Antonio, Región de Valparaíso, Chile",-33.6121783,-71.45089240000001
57,US,California,Santa Clara Valley,"US, Santa Clara Valley, California","California, Santa Isabel de las Lajas, Cienfuegos, Cuba",22.4804035,-80.37966429999999
58,US,California,Yountville,"US, Yountville, California","Yountville, Napa County, California, USA",38.395445,-122.36017255050601
59,Italy,Piedmont,Barolo,"Barolo, Italy, Piedmont","Piedmont Avenue, Pratt City, Birmingham, Jefferson County, Alabama, 35214, USA",33.547545,-86.902243
60,US,California,Rockpile,"US, Rockpile, California","The Rockpile, Fort Irwin Road, San Bernardino County, California, USA",35.205397600000005,-116.7498696
61,Australia,South Australia,Padthaway,"Padthaway, Australia, South Australia","Padthaway, Tatiara, South Australia, 5271, Australia",-36.5860356,140.521873382282
62,South Africa,Stellenbosch,,"South Africa, Stellenbosch","Stellenbosch, Cape Winelands District Municipality, Western Cape, South Africa",-33.934444,18.869167
63,France,Bordeaux,Saint-Émilion,"Bordeaux, Saint-Émilion, France","Hôtel Ibis Bordeaux Saint-Émilion, A Magnan, Saint-Émilion, Libourne, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33330, France",44.8923795,-0.1962411
64,US,California,Spring Mountain District,"US, California, Spring Mountain District","California, USA",36.7014631,-118.75599740000001
65,US,California,Monterey,"US, Monterey, California","Monterey, Monterey County, California, USA",36.600256,-121.89463880000001
66,Portugal,Alentejano,,"Portugal, Alentejano","Alentejano, Largo dos Duques de Beja, Santa Maria da Feira, Salvador e Santa Maria da Feira, Beja, Baixo Alentejo, Alentejo, 7800-134, Portugal",38.0146971,-7.86256466865278
67,US,California,Carmel Valley,"US, Carmel Valley, California","Carmel Valley, Monterey County, California, USA",36.4796839,-121.7324476
68,US,California,Santa Cruz Mountains,"US, Santa Cruz Mountains, California","Santa Cruz Mountains, Sunnyvale, Santa Clara County, California, 95033, USA",37.219111100000006,-122.07135020000001
69,Italy,Tuscany,Chianti Classico,"Tuscany, Chianti Classico, Italy","TOS, Italia",43.458654100000004,11.1389204
70,France,Southwest France,Cahors,"Cahors, Southwest France, France","Cahors, Lot, Occitanie, France métropolitaine, 46000, France",44.4495,1.4364999
71,US,California,Edna Valley,"US, Edna Valley, California","California, Heroica Nogales, Sonora, 84084, México",31.265826699999998,-110.95722479999999
72,Chile,Aconcagua Valley,,"Chile, Aconcagua Valley","Aconcagua, Barrio República, Santiago, Provincia de Santiago, Región Metropolitana de Santiago, 8329001, Chile",-33.4586836,-70.6527425
73,France,Southwest France,Madiran,"Southwest France, Madiran, France",France,46.603353999999996,1.8883334999999999
74,US,California,Russian River Valley,"US, California, Russian River Valley","Russian River, Mendocino County, California, 95449, USA",38.9028592,-123.0581113
75,Chile,Loncomilla Valley,,"Chile, Loncomilla Valley","Loncomilla, Provincia de Huasco, Región de Atacama, Chile",-28.525636699999996,-70.869904
76,New Zealand,Marlborough,,"New Zealand, Marlborough","Marlborough, New Zealand / Aotearoa",-41.47447475,173.833026257761
77,Italy,Northeastern Italy,Alto Adige,"Alto Adige, Italy, Northeastern Italy",Italia,42.6384261,12.674297
78,US,California,Arroyo Seco,"US, Arroyo Seco, California","Arroyo Seco, Fresno County, California, USA",36.0788259,-120.16449779999999
79,Argentina,Other,Salta,"Salta, Other, Argentina","Other Look, Belgrano, Quilmes, Partido de Quilmes, Bs. As., 1877, Argentina",-34.7165244,-58.275414000000005
80,US,California,Anderson Valley,"US, Anderson Valley, California","Anderson, Shasta County, California, USA",40.448208,-122.2977815
81,Chile,Casablanca Valley,,"Chile, Casablanca Valley","Casablanca, Provincia de Valparaíso, Región de Valparaíso, Chile",-33.3205864,-71.41007619999999
82,Italy,Southern Italy,Campania,"Campania, Italy, Southern Italy",Italia,42.6384261,12.674297
83,Italy,Veneto,Rosso del Veronese,"Veneto, Rosso del Veronese, Italy","VEN, Italia",45.6476663,11.8665254
84,France,Burgundy,St.-Romain,"St.-Romain, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
85,South Africa,Western Cape,,"South Africa, Western Cape","Western Cape, South Africa",-33.546977000000005,20.727529999999998
86,US,California,Nevada County,"US, Nevada County, California","Nevada County, California, USA",39.3540335,-120.80898429999999
87,Portugal,Alentejo,,"Portugal, Alentejo","Alentejo, Portugal",38.49104545,-8.02734298589458
88,France,Rhône Valley,Côtes du Rhône,"Rhône Valley, Côtes du Rhône, France","La Madone, Route de la Fillonnière, Les Cotes, Collonge, Saint-Sorlin, Mornant, Lyon, Rhône, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, 69440, France",45.609214200000004,4.643557
89,France,Rhône Valley,Vacqueyras,"Rhône Valley, Vacqueyras, France","Le Rhône, Via Rhôna, Cruas, Privas, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07350, France",44.61743555,4.75142309852762
90,Spain,Northern Spain,Rueda,"Northern Spain, Rueda, Spain",España,39.3262345,-4.838064900000001
91,Israel,Galilee,,"Israel, Galilee","הגליל, מועצה אזורית משגב, מחוז הצפון, no, ישראל",32.861663199999995,35.264012799999996
92,Italy,Tuscany,Brunello di Montalcino,"Tuscany, Brunello di Montalcino, Italy","TOS, Italia",43.458654100000004,11.1389204
93,Hungary,Tokaj,,"Hungary, Tokaj","Tokaj, Tokaji járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, 3910, Magyarország",48.1235534,21.4113895
94,Argentina,Mendoza Province,Luján de Cuyo,"Mendoza Province, Luján de Cuyo, Argentina","Zona Franca Mendoza, Distrito Industrial, Departamento Luján de Cuyo, Mza., Argentina",-33.07480205,-69.0020049199688
95,US,New York,Cayuga Lake,"US, New York, Cayuga Lake","Cayuga Lake, Lake Road, Aurora, Town of Ledyard, Cayuga County, New York, 13026, USA",42.69767595,-76.71269026110251
96,US,California,Santa Barbara County,"US, Santa Barbara County, California","Santa Barbara County, California, USA",34.7136533,-119.98582320000001
97,US,California,Mendocino,"US, Mendocino, California","Mendocino County, California, USA",39.317649100000004,-123.4126399
98,Argentina,Other,San Juan,"Other, San Juan, Argentina","Other Look, Belgrano, Quilmes, Partido de Quilmes, Bs. As., 1877, Argentina",-34.7165244,-58.275414000000005
99,Australia,South Australia,Adelaide Hills,"Adelaide Hills, Australia, South Australia","Adelaide Hills, South Australia, Australia",-34.90135165,138.829320281746
100,US,California,Sonoma Mountain,"US, Sonoma Mountain, California","Sonoma Mountain, Sonoma County, California, USA",38.322969799999996,-122.5749837
101,US,California,Amador County,"US, Amador County, California","Amador County, California, USA",38.449089,-120.59110179999999
102,US,California,St. Helena,"US, California, St. Helena","St. Helena, Napa County, California, 94574, USA",38.5052288,-122.47004240000001
103,US,California,Cole Ranch,"US, California, Cole Ranch","South South Bar Ranch Road, Cole, Siskiyou County, California, USA",42.003665999999996,-122.647879
104,Argentina,Mendoza Province,,"Argentina, Mendoza Province","Cuesta del Chihuido, Distrito Ciudad de Malargüe, Departamento Malargüe, Mza., Argentina",-35.7492249,-69.58026459999999
105,US,California,Santa Maria Valley,"US, Santa Maria Valley, California","Santa Maria Valley, Guadalupe, Santa Barbara County, California, 93434, USA",34.947792,-120.56471200000001
106,Italy,Central Italy,Torgiano,"Central Italy, Italy, Torgiano",Italia,42.6384261,12.674297
107,Italy,Veneto,Veneto,"Veneto, Italy","VEN, Italia",45.6476663,11.8665254
108,Austria,Leithaberg,,"Austria, Leithaberg","Leithaberg, Gemeinde Schützen, Bezirk Eisenstadt-Umgebung, Burgenland, 7081, Österreich",47.888220000000004,16.581003699999997
109,Greece,Santorini,,"Greece, Santorini","Σαντορίνη, Δήμος Θήρας, Περιφερειακή Ενότητα Θήρας, Περιφέρεια Νοτίου Αιγαίου, Αιγαίο, 84700 SANTORINI, Ελλάδα",36.4044251,25.395856100000003
110,Argentina,Mendoza Province,Uco Valley,"Mendoza Province, Uco Valley, Argentina","Cuesta del Chihuido, Distrito Ciudad de Malargüe, Departamento Malargüe, Mza., Argentina",-35.7492249,-69.58026459999999
111,Italy,Piedmont,Monferrato,"Monferrato, Italy, Piedmont","Piedmont Avenue, Pratt City, Birmingham, Jefferson County, Alabama, 35214, USA",33.547545,-86.902243
112,Austria,Kremstal,,"Austria, Kremstal","Kremstalstraße, Bindermichl-Keferfeld, Leonding, Linz, Oberösterreich, 4020, Österreich",48.276042600000004,14.2752057
113,US,Oregon,Dundee Hills,"US, Oregon, Dundee Hills","Southwest Red Hills Drive, Dundee, Yamhill County, Oregon, 97115, USA",45.2816655,-123.0229088
114,Argentina,Mendoza Province,Perdriel,"Mendoza Province, Perdriel, Argentina","Cuesta del Chihuido, Distrito Ciudad de Malargüe, Departamento Malargüe, Mza., Argentina",-35.7492249,-69.58026459999999
115,US,California,Arroyo Grande Valley,"US, California, Arroyo Grande Valley","Arroyo Grande, San Luis Obispo County, California, USA",35.118586900000004,-120.59072520000001
116,Spain,Catalonia,Montsant,"Montsant, Catalonia, Spain","Montsant, Carrer del Riu Montsant, Torreforta, Tarragona, Tarragonès, Tarragona, CAT, 43080 TARRAGONA, España",41.117055,1.2110712
117,France,France Other,Arbois,"France Other, Arbois, France","La Belle Equipe: Boxe, Coaching and other things, 14, Rue d'Abbeville, Rochechouart, 10e, Paris, Île-de-France, France métropolitaine, 75010, France",48.8791831,2.349764
118,Australia,South Australia,Barossa Valley,"Barossa Valley, Australia, South Australia","Barossa, South Australia, Australia",-34.61341495,138.938545516936
119,Argentina,Mendoza Province,Tupungato,"Mendoza Province, Argentina, Tupungato","Tupungato, Distrito Ciudad de Tupungato, Departamento Tupungato, Mza., 5561, Argentina",-33.3723648,-69.1479533
120,US,California,Mendocino County,"US, Mendocino County, California","Mendocino County, California, USA",39.317649100000004,-123.4126399
121,Romania,Recas,,"Romania, Recas","Recaș, Timiș, 307340, România",45.8017074,21.509292300000002
122,Italy,Piedmont,Langhe,"Langhe, Italy, Piedmont","Piedmont Avenue, Pratt City, Birmingham, Jefferson County, Alabama, 35214, USA",33.547545,-86.902243
123,New Zealand,Hawke's Bay,,"New Zealand, Hawke's Bay","Hawke's Bay, New Zealand / Aotearoa",-39.4343279,176.7652742
124,Chile,Curicó Valley,,"Chile, Curicó Valley","Curicó, Provincia de Curicó, Región del Maule, Chile",-34.985332899999996,-71.2394072
125,Chile,Limarí Valley,,"Chile, Limarí Valley","Limarí, Provincia de Limarí, Región de Coquimbo, Chile",-30.6382918,-71.283904
126,Chile,Colchagua Costa,,"Chile, Colchagua Costa","Costa Varua, Caletera Ruta 5, Villa San Juan, Estación Tinguiririca, Chimbarongo, Provincia de Colchagua, Región del Libertador General Bernardo O'Higgins, 3071991, Chile",-34.6435092,-70.9906917
127,France,Languedoc-Roussillon,Languedoc,"Languedoc-Roussillon, Languedoc, France","Languedoc-Roussillon, D 111, Montarnaud, Lodève, Hérault, Occitanie, France métropolitaine, 34570, France",43.65420305,3.67466994020661
128,Germany,Rheingau,,"Germany, Rheingau","Rheingau-Taunus-Kreis, Regierungsbezirk Darmstadt, Hessen, Deutschland",50.124148299999995,8.0912155
129,Australia,South Australia,Barossa,"Barossa, Australia, South Australia","Barossa, South Australia, Australia",-34.61341495,138.938545516936
130,Hungary,Tokaji,,"Hungary, Tokaji","Tokaji járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, Magyarország",48.1658637,21.381382426012603
131,France,Burgundy,Montrachet,"Burgundy, Montrachet, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
132,Australia,Victoria,Heathcote,"Victoria, Australia, Heathcote","Heathcote, City of Greater Bendigo, Loddon Mallee, Victoria, Australia",-36.9160908,144.7033003
133,France,Burgundy,Clos de Vougeot,"Clos de Vougeot, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
134,France,Burgundy,Chassagne-Montrachet,"Chassagne-Montrachet, Burgundy, France","Bourgogne, Rue des Tanneries, Saulieu, Montbard, Côte-d'Or, Bourgogne-Franche-Comté, France métropolitaine, 21210, France",47.27808725,4.22248630430605
135,Australia,South Australia,Clare Valley,"Australia, South Australia, Clare Valley","South Australia, Australia",-30.534366499999997,135.6301212
136,Italy,Northeastern Italy,Friuli,"Friuli, Italy, Northeastern Italy",Italia,42.6384261,12.674297
137,Italy,Veneto,Soave,"Veneto, Soave, Italy","Soave, VR, VEN, 37038, Italia",45.42023029999999,11.247722
138,Italy,Northeastern Italy,Collio,"Collio, Italy, Northeastern Italy",Italia,42.6384261,12.674297
139,Italy,Northeastern Italy,Trentino,"Trentino, Italy, Northeastern Italy",Italia,42.6384261,12.674297
140,Italy,Veneto,Valdadige,"Veneto, Valdadige, Italy","Farmacia Valdadige, 303, Peri, VR, VEN, 37020, Italia",45.6582406,10.9025042
141,US,California,Rutherford,"US, California, Rutherford","Rutherford, Napa County, California, 94573, USA",38.458521000000005,-122.42247900000001
142,Chile,Central Valley,,"Chile, Central Valley","Chile, Barrio Mariscal López, Lambaré, Central, Región Oriental, 2420, Paraguay",-25.3358788,-57.623358700000004
143,Chile,Lontué Valley,,"Chile, Lontué Valley","Lontué, Provincia de Curicó, Región del Maule, 338000, Chile",-35.0549065,-71.2745634
144,France,Bordeaux,Graves,"Bordeaux, Graves, France","Graves, Rue Thomas Edison, France Alouette, Canéjan, Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33610, France",44.776079100000004,-0.6523275464905921
145,Austria,Weinviertel,,"Austria, Weinviertel","Weinviertel, L1115, Gerasdorf bei Wien, Bezirk Korneuburg, Niederösterreich, 2202, Österreich",48.3248019,16.4289809
146,US,New York,New York,"US, New York","NYC, New York, USA",40.7127281,-74.0060152
147,Spain,Northern Spain,Rioja,"Northern Spain, Spain, Rioja",España,39.3262345,-4.838064900000001
148,US,Washington,Wahluke Slope,"US, Washington, Wahluke Slope","Wahluke Slope Habitat Management Area, Grant County, Washington, USA",46.7206936,-119.39807730000001
149,US,Washington,Snipes Mountain,"US, Washington, Snipes Mountain","Snipes Mountain, Yakima County, Washington, USA",46.105954600000004,-121.460637
